,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",0,189,1061,0,0,313,937,0,0,0,0,90,1064,96,0,0,229,896,0,125
1,"['Prey', 'South']",13,807,26,128,276,500,750,0,0,0,0,1240,10,0,0,893,189,60,108,0
2,"['Prey', 'East']",0,636,266,149,199,445,805,0,0,0,7,1243,0,0,0,581,470,96,103,0
3,"['Prey', 'West']",0,781,405,64,0,436,814,0,0,0,0,1250,0,0,0,323,767,88,20,52
4,"['Prey', 'North', 'West']",0,159,1091,0,0,0,923,327,0,0,0,0,0,1250,0,49,562,385,0,254
5,"['Prey', 'North', 'East']",0,0,1079,22,149,357,893,0,0,0,28,1201,21,0,0,0,0,1179,71,0
6,"['Prey', 'South', 'West']",0,909,264,66,11,453,797,0,0,0,0,1250,0,0,0,316,763,71,49,51
7,"['Prey', 'South', 'East']",0,475,135,235,405,398,852,0,0,0,0,1250,0,0,0,632,433,74,111,0
8,[],0,793,325,0,132,734,516,0,0,0,0,1244,6,0,0,825,106,206,113,0
