,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",0.384098,0.102884,0.07903,0.391424,0.042564,0.215494,0.39234,0.216978,0.049068,0.12612,0.149718,0.367096,0.260726,0.083688,0.138772,0.053074,0.162856,0.420044,0.259602,0.104424
1,"['Prey', 'South']",0.47681,0.142528,0.045126,0.27397,0.061566,0.299732,0.331544,0.18923,0.045536,0.133958,0.143334,0.410576,0.22014,0.08797,0.13798,0.072978,0.175996,0.380828,0.248258,0.12194
2,"['Prey', 'East']",0.352234,0.093712,0.070636,0.444114,0.039304,0.230718,0.342988,0.216486,0.06661,0.143198,0.15987,0.394018,0.217952,0.091968,0.136192,0.077,0.137832,0.370614,0.31841,0.096144
3,"['Prey', 'West']",0.424994,0.113634,0.069726,0.342196,0.04945,0.268206,0.382054,0.191998,0.038824,0.118918,0.149786,0.384352,0.246306,0.079658,0.139898,0.063004,0.163216,0.42391,0.235446,0.114424
4,"['Prey', 'North', 'West']",0.40793,0.115414,0.070776,0.35815,0.04773,0.216384,0.401726,0.21177,0.043158,0.126962,0.145458,0.361704,0.270934,0.080102,0.141802,0.053718,0.174526,0.434212,0.228052,0.109492
5,"['Prey', 'North', 'East']",0.296004,0.099072,0.100228,0.46288,0.041816,0.186224,0.38918,0.223498,0.06733,0.133768,0.154492,0.375712,0.249902,0.085458,0.134436,0.047482,0.13267,0.396204,0.321572,0.102072
6,"['Prey', 'South', 'West']",0.47762,0.152992,0.051326,0.2556,0.062462,0.318272,0.352462,0.171434,0.0345,0.123332,0.14845,0.411566,0.22393,0.07971,0.136344,0.069606,0.17076,0.411166,0.22107,0.127398
7,"['Prey', 'South', 'East']",0.422196,0.120898,0.0408,0.347622,0.068484,0.24832,0.337108,0.196206,0.063234,0.155132,0.147946,0.427002,0.211424,0.087296,0.126332,0.080442,0.156044,0.366666,0.298352,0.098496
8,[],0.381196,0.121334,0.065274,0.367592,0.064604,0.22637,0.423416,0.205036,0.037442,0.107736,0.137564,0.390074,0.269292,0.060302,0.142768,0.046682,0.152922,0.44705,0.244496,0.10885
