,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",307,0,931,12,0,0,0,1250,0,0,0,8,483,0,759,0,230,1020,0,0
1,"['Prey', 'South']",244,0,1006,0,0,0,0,1250,0,0,0,2,154,0,1094,0,409,841,0,0
2,"['Prey', 'East']",31,0,1105,114,0,0,0,1250,0,0,0,0,538,0,712,0,253,997,0,0
3,"['Prey', 'West']",214,0,1036,0,0,0,0,1250,0,0,0,10,198,0,1042,0,402,848,0,0
4,"['Prey', 'North', 'West']",155,0,1095,0,0,0,0,1250,0,0,0,7,461,0,782,0,161,1089,0,0
5,"['Prey', 'North', 'East']",0,0,1143,107,0,0,0,1250,0,0,0,7,528,0,715,0,208,1042,0,0
6,"['Prey', 'South', 'West']",259,0,991,0,0,0,0,1250,0,0,0,6,64,0,1180,0,401,849,0,0
7,"['Prey', 'South', 'East']",19,0,1152,79,0,0,0,1250,0,0,0,0,501,0,749,0,334,916,0,0
8,[],288,0,962,0,0,0,0,1250,0,0,0,0,341,0,909,0,35,1215,0,0
