,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4
0,"['Prey', 'North']",153,391,1767,492,197,72,1327,1410,17,174
1,"['Prey', 'South']",981,940,239,566,274,463,1674,699,4,160
2,"['Prey', 'East']",320,392,1011,1101,176,120,1312,982,307,279
3,"['Prey', 'West']",541,1356,444,377,282,387,1882,624,16,91
4,"['Prey', 'North', 'West']",249,727,1252,423,349,84,1545,1247,14,110
5,"['Prey', 'North', 'East']",158,325,1794,547,176,68,1252,1465,29,186
6,"['Prey', 'South', 'West']",633,1507,322,312,226,393,1972,525,9,101
7,"['Prey', 'South', 'East']",748,764,643,555,290,433,1470,833,71,193
8,[],272,659,1393,392,284,156,1610,1178,15,41
