,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",1106,0,0,126,18,425,343,441,41,0,0,0,391,859,0,100,1000,117,0,33
1,"['Prey', 'South']",952,0,0,298,0,645,0,605,0,0,0,0,544,706,0,304,946,0,0,0
2,"['Prey', 'East']",598,0,0,648,4,603,0,617,30,0,0,0,744,506,0,285,886,79,0,0
3,"['Prey', 'West']",859,0,0,391,0,467,371,412,0,0,0,0,483,767,0,98,1152,0,0,0
4,"['Prey', 'North', 'West']",847,0,0,403,0,444,207,589,10,0,0,0,672,578,0,18,1194,38,0,0
5,"['Prey', 'North', 'East']",823,0,0,344,83,560,0,644,46,0,0,0,598,652,0,272,768,210,0,0
6,"['Prey', 'South', 'West']",941,0,0,309,0,548,212,490,0,0,0,0,538,712,0,389,861,0,0,0
7,"['Prey', 'South', 'East']",771,0,0,479,0,639,0,611,0,0,0,0,689,561,0,659,591,0,0,0
8,[],989,0,0,129,132,664,0,567,19,0,0,0,429,821,0,385,820,45,0,0
