,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4
0,"['Prey', 'North']",78,99,36,81,66,58,133,109,11,49
1,"['Prey', 'South']",102,80,14,68,96,81,149,92,2,36
2,"['Prey', 'East']",97,89,29,83,62,76,145,93,9,37
3,"['Prey', 'West']",101,103,20,71,65,77,145,96,4,38
4,"['Prey', 'North', 'West']",73,103,36,70,78,52,137,116,9,46
5,"['Prey', 'North', 'East']",75,95,48,95,47,55,126,116,9,54
6,"['Prey', 'South', 'West']",115,96,3,56,90,85,156,77,5,37
7,"['Prey', 'South', 'East']",102,86,11,69,92,84,150,91,2,33
8,[],68,106,30,88,68,59,155,125,3,18
