,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4
0,"['Prey', 'North']",152,241,1953,618,36,124,769,1821,116,170
1,"['Prey', 'South']",1060,761,147,841,191,1290,950,389,3,368
2,"['Prey', 'East']",632,143,472,1560,193,257,338,736,1360,309
3,"['Prey', 'West']",444,1656,262,413,225,882,1550,337,26,205
4,"['Prey', 'North', 'West']",233,730,1377,535,125,93,1177,1391,41,298
5,"['Prey', 'North', 'East']",167,168,2011,616,38,101,387,2020,370,122
6,"['Prey', 'South', 'West']",861,1567,92,332,148,1099,1447,293,9,152
7,"['Prey', 'South', 'East']",869,687,379,888,177,784,773,500,446,497
8,[],272,659,1393,392,284,156,1610,1178,15,41
