,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4
0,"['Prey', 'North']",27,78,110,120,25,27,94,136,23,80
1,"['Prey', 'South']",101,50,9,75,125,149,67,99,9,36
2,"['Prey', 'East']",49,58,73,124,56,79,88,106,20,67
3,"['Prey', 'West']",45,144,43,69,59,76,105,64,19,96
4,"['Prey', 'North', 'West']",21,95,120,68,56,21,116,118,31,74
5,"['Prey', 'North', 'East']",29,54,120,132,25,22,86,132,45,75
6,"['Prey', 'South', 'West']",84,103,10,70,93,142,93,54,8,63
7,"['Prey', 'South', 'East']",71,61,24,73,131,113,87,105,19,36
8,[],68,106,30,88,68,59,155,125,3,18
