,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",0,1250,0,0,0,0,1135,115,0,0,0,458,674,118,0,0,233,870,0,147
1,"['Prey', 'South']",0,1165,0,0,85,243,865,142,0,0,0,67,833,52,298,0,102,1080,0,68
2,"['Prey', 'East']",0,747,0,360,143,232,714,96,208,0,0,0,1098,152,0,0,0,1119,19,112
3,"['Prey', 'West']",0,1223,0,0,27,0,1250,0,0,0,0,557,277,0,416,23,0,1146,0,81
4,"['Prey', 'North', 'West']",0,1250,0,0,0,0,1115,135,0,0,0,493,345,0,412,59,93,1047,0,51
5,"['Prey', 'North', 'East']",0,908,0,342,0,0,1226,24,0,0,0,0,1040,210,0,0,18,1196,15,21
6,"['Prey', 'South', 'West']",0,1148,0,0,102,187,1063,0,0,0,0,397,62,0,791,0,250,982,0,18
7,"['Prey', 'South', 'East']",0,779,0,333,138,257,692,150,151,0,0,0,1131,119,0,0,44,1044,20,142
8,[],0,1250,0,0,0,0,1000,250,0,0,0,892,24,105,229,0,861,68,321,0
