,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4
0,"['Prey', 'North']",37336,108390,152830,166228,35216,37547,130255,188701,31954,111543
1,"['Prey', 'South']",140252,69385,12449,104542,173372,206574,93210,137454,12500,50262
2,"['Prey', 'East']",68133,80077,101378,171959,78453,109678,121802,146796,28083,93641
3,"['Prey', 'West']",62740,200244,59983,96200,80833,105915,146054,89302,26405,132324
4,"['Prey', 'North', 'West']",29260,131942,166656,94128,78014,29005,161122,163529,43330,103014
5,"['Prey', 'North', 'East']",40420,74992,166806,183280,34502,30746,119458,183771,62417,103608
6,"['Prey', 'South', 'West']",117191,142907,13888,97147,128867,197852,128868,75145,11147,86988
7,"['Prey', 'South', 'East']",98502,84576,33506,101597,181819,156589,121015,145578,26405,50413
8,[],94565,146863,41566,122310,94696,81832,215514,173652,4195,24807
