,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",0,104,936,210,0,0,0,21,0,1229,0,1239,11,0,0,0,1067,0,5,178
1,"['Prey', 'South']",0,0,1250,0,0,0,0,0,75,1175,0,1000,0,250,0,0,1250,0,0,0
2,"['Prey', 'East']",0,0,1019,231,0,0,11,0,0,1239,0,1000,0,250,0,0,1050,0,4,196
3,"['Prey', 'West']",0,42,1203,5,0,0,250,0,0,1000,0,1250,0,0,0,0,1198,52,0,0
4,"['Prey', 'North', 'West']",0,0,1169,81,0,0,189,36,0,1025,0,1250,0,0,0,0,1192,58,0,0
5,"['Prey', 'North', 'East']",0,27,939,284,0,0,0,0,0,1250,0,1021,0,229,0,0,1053,0,22,175
6,"['Prey', 'South', 'West']",0,0,1250,0,0,0,0,0,140,1110,0,1240,0,10,0,0,1246,4,0,0
7,"['Prey', 'South', 'East']",0,0,1167,83,0,0,0,0,0,1250,0,1000,0,250,0,0,1245,0,5,0
8,[],0,348,898,4,0,0,0,0,0,1250,0,1250,0,0,0,0,1211,0,0,39
