,Message,A0a0,A0a1,A0a2,A0a3,A0a4,A1a0,A1a1,A1a2,A1a3,A1a4,A2a0,A2a1,A2a2,A2a3,A2a4,A3a0,A3a1,A3a2,A3a3,A3a4
0,"['Prey', 'North']",219,0,793,204,34,0,0,1250,0,0,0,0,1076,0,174,0,490,760,0,0
1,"['Prey', 'South']",231,19,943,57,0,0,0,1250,0,0,0,0,104,0,1146,0,1107,143,0,0
2,"['Prey', 'East']",0,0,961,289,0,0,0,1250,0,0,0,0,1213,0,37,0,533,717,0,0
3,"['Prey', 'West']",186,45,948,71,0,0,0,1250,0,0,0,0,173,0,1077,0,997,253,0,0
4,"['Prey', 'North', 'West']",120,0,1075,42,13,0,0,1250,0,0,0,0,1166,0,84,0,409,841,0,0
5,"['Prey', 'North', 'East']",0,0,1057,193,0,0,0,1250,0,0,0,0,1228,0,22,0,418,832,0,0
6,"['Prey', 'South', 'West']",234,27,952,37,0,0,0,1250,0,0,0,0,25,0,1225,0,1082,168,0,0
7,"['Prey', 'South', 'East']",0,0,1051,159,40,0,0,1250,0,0,0,0,1211,0,39,0,657,593,0,0
8,[],288,0,962,0,0,0,0,1250,0,0,0,0,341,0,909,0,35,1215,0,0
