,Step,Ratio_gen_perf
293,7350000,0.77367
294,7375000,0.77766
295,7400000,0.77599
296,7425000,0.78394
297,7450000,0.77898
298,7475000,0.78359
299,7500000,0.78256
300,7525000,0.77678
301,7550000,0.79333
302,7575000,0.78155
303,7600000,0.78722
304,7625000,0.78653
305,7650000,0.78916
306,7675000,0.78724
307,7700000,0.78997
308,7725000,0.78841
309,7750000,0.78661
310,7775000,0.78833
311,7800000,0.78671
312,7825000,0.78296
313,7850000,0.77633
314,7875000,0.78178
315,7900000,0.77976
316,7925000,0.78221
317,7950000,0.78331
318,7975000,0.77787
319,8000000,0.78452
320,8025000,0.78259
321,8050000,0.78607
322,8075000,0.78812
323,8100000,0.78442
324,8125000,0.78421
325,8150000,0.77379
326,8175000,0.78304
327,8200000,0.78411
328,8225000,0.7819
329,8250000,0.77706
330,8275000,0.77181
331,8300000,0.77275
332,8325000,0.77047
333,8350000,0.7759
334,8375000,0.76801
335,8400000,0.77063
336,8425000,0.77273
337,8450000,0.77465
338,8475000,0.77399
339,8500000,0.76918
340,8525000,0.77417
341,8550000,0.77994
342,8575000,0.76757
343,8600000,0.76577
344,8625000,0.77071
345,8650000,0.75933
346,8675000,0.75638
347,8700000,0.76489
348,8725000,0.7689
349,8750000,0.77217
350,8775000,0.76677
351,8800000,0.76143
352,8825000,0.76133
353,8850000,0.75814
354,8875000,0.75492
355,8900000,0.75584
356,8925000,0.75475
357,8950000,0.75981
358,8975000,0.76541
359,9000000,0.76193
360,9025000,0.76697
361,9050000,0.76574
362,9075000,0.76545
363,9100000,0.76399
364,9125000,0.76061
365,9150000,0.75913
366,9175000,0.75739
367,9200000,0.75379
368,9225000,0.75153
369,9250000,0.7492
370,9275000,0.75666
371,9300000,0.75822
372,9325000,0.76086
373,9350000,0.74489
374,9375000,0.74654
375,9400000,0.73314
376,9425000,0.74073
377,9450000,0.73422
378,9475000,0.73551
379,9500000,0.7249
380,9525000,0.74278
381,9550000,0.7377
382,9575000,0.74507
383,9600000,0.7322
384,9625000,0.72325
385,9650000,0.71658
386,9675000,0.72792
387,9700000,0.70597
388,9725000,0.72468
389,9750000,0.70922
390,9775000,0.71773
391,9800000,0.71469
392,9825000,0.69978
393,9850000,0.70911
394,9875000,0.71267
395,9900000,0.7139
396,9925000,0.71735
397,9950000,0.73055
398,9975000,0.72629
399,10000000,0.72902
