,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Episode intrinsic return 2,Success,Episode length
0,49,-50.9871940612793,-162.8255999999999,11.188534438610077,0.0,1,50
1,99,-183.68521118164062,-263.3632,7.971143811941147,0.0,1,50
2,149,-149.8068389892578,-181.89759999999995,3.210423022508621,0.0,1,50
3,199,-116.19528198242188,-208.09599999999998,9.193932116031647,0.0,1,50
4,249,-166.9328155517578,-293.44320000000005,12.656352758407593,0.0,1,50
5,299,67.5541000366211,-130.99519999999995,19.863274067640305,0.0,1,50
6,349,139.2733154296875,-24.662400000000027,16.400461941957474,0.0,1,50
7,399,98.85270690917969,-20.55359999999999,11.945651024580002,0.0,1,50
8,449,94.87149047851562,-73.11680000000001,16.805893540382385,0.0,1,50
9,499,62.98790740966797,-97.05280000000005,16.010803133249283,0.0,1,50
10,549,-23.373512268066406,-157.63199999999995,13.43149870634079,0.0,1,50
11,599,-78.25397491455078,-187.65440000000004,10.944646567106247,0.0,1,50
12,649,-23.80074691772461,-99.45599999999997,7.568710505962372,0.0,1,50
13,699,127.45746612548828,-8.332800000000006,13.584745824337006,0.0,1,50
14,749,129.4601593017578,-15.504000000000007,14.502522498369217,0.0,1,50
15,799,-140.6363067626953,-196.35519999999997,5.574236661195755,0.0,1,50
16,849,143.13790893554688,-77.57439999999995,22.08053308725357,0.0,1,50
17,899,139.62998962402344,-46.20159999999997,18.590994119644165,0.0,1,50
18,949,136.49790954589844,-26.636799999999997,16.320349365472794,0.0,1,50
19,999,93.01493835449219,-82.5408,17.56297904253006,0.0,1,50
20,1049,135.39404296875,-106.14400000000003,24.163996547460556,0.0,1,50
21,1099,170.16030883789062,-58.77759999999998,22.903453677892685,0.0,1,50
22,1149,23.565570831298828,-98.3552,12.19722405076027,0.0,1,50
23,1199,93.48703002929688,-27.16480000000002,12.07027792930603,0.0,1,50
24,1249,142.9261474609375,-35.584,17.85855469107628,0.0,1,50
25,1299,9.117490768432617,-30.467200000000012,3.9601413905620575,0.0,1,50
26,1349,105.98011779785156,-25.305600000000005,13.134120553731918,0.0,1,50
27,1399,180.912353515625,-35.87839999999999,21.688239723443985,0.0,1,50
28,1449,183.56686401367188,-26.492800000000038,21.01484963297844,0.0,1,50
29,1499,134.48712158203125,-81.28000000000002,21.58583888411522,0.0,1,50
30,1549,120.80231475830078,-70.01920000000001,19.090224027633667,0.0,1,50
31,1599,152.8007354736328,-44.51839999999997,19.740264624357224,0.0,1,50
32,1649,140.1422882080078,-38.982400000000005,17.92005154490471,0.0,1,50
33,1699,154.41319274902344,-61.183999999999976,21.568846493959427,0.0,1,50
34,1749,150.94419860839844,-41.647999999999996,19.267376452684402,0.0,1,50
