,Step,Mean return,Success rate,Mean episode length
0,10000,0.0,0.0,100.0
1,20000,2.0,0.0,100.0
2,30000,0.0,0.0,100.0
3,40000,1.0,0.0,100.0
4,50000,0.0,0.0,100.0
5,60000,0.5,0.0,100.0
6,70000,0.0,0.0,100.0
7,80000,1.0,0.0,100.0
8,90000,0.0,0.0,100.0
9,100000,0.0,0.0,100.0
10,110000,3.0,0.0,100.0
11,120000,3.0,0.0,100.0
12,130000,1.0,0.0,100.0
13,140000,3.0,0.0,100.0
14,150000,0.5,0.0,100.0
15,160000,0.0,0.0,100.0
16,170000,0.0,0.0,100.0
17,180000,4.5,0.0,100.0
18,190000,3.5,0.0,100.0
19,200000,0.0,0.0,100.0
20,210000,5.5,0.0,100.0
21,220000,2.0,0.0,100.0
22,230000,0.5,0.0,100.0
23,240000,0.0,0.0,100.0
24,250000,0.0,0.0,100.0
25,260000,1.0,0.0,100.0
26,270000,1.5,0.0,100.0
27,280000,2.0,0.0,100.0
28,290000,0.0,0.0,100.0
29,300000,0.0,0.0,100.0
30,310000,3.0,0.0,100.0
31,320000,0.0,0.0,100.0
32,330000,0.0,0.0,100.0
33,340000,0.5,0.0,100.0
34,350000,0.5,0.0,100.0
35,360000,0.0,0.0,100.0
36,370000,0.0,0.0,100.0
37,380000,2.0,0.0,100.0
38,390000,0.5,0.0,100.0
39,400000,0.5,0.0,100.0
40,410000,0.0,0.0,100.0
41,420000,0.0,0.0,100.0
42,430000,0.0,0.0,100.0
43,440000,0.0,0.0,100.0
44,450000,0.0,0.0,100.0
45,460000,6.5,0.0,100.0
46,470000,0.0,0.0,100.0
47,480000,0.0,0.0,100.0
48,490000,1.5,0.0,100.0
49,500000,0.0,0.0,100.0
50,510000,0.0,0.0,100.0
51,520000,0.0,0.0,100.0
52,530000,2.0,0.0,100.0
53,540000,1.0,0.0,100.0
54,550000,1.0,0.0,100.0
55,560000,0.5,0.0,100.0
56,570000,0.5,0.0,100.0
57,580000,0.5,0.0,100.0
58,590000,1.0,0.0,100.0
59,600000,2.0,0.0,100.0
60,610000,1.5,0.0,100.0
61,620000,1.5,0.0,100.0
62,630000,0.0,0.0,100.0
63,640000,0.0,0.0,100.0
64,650000,0.0,0.0,100.0
65,660000,0.5,0.0,100.0
66,670000,0.0,0.0,100.0
67,680000,1.0,0.0,100.0
68,690000,1.0,0.0,100.0
69,700000,4.5,0.0,100.0
70,710000,1.5,0.0,100.0
71,720000,1.0,0.0,100.0
72,730000,19.5,0.0,100.0
73,740000,1.0,0.0,100.0
74,750000,0.0,0.0,100.0
75,760000,8.5,0.0,100.0
76,770000,5.5,0.0,100.0
77,780000,3.0,0.0,100.0
78,790000,0.5,0.0,100.0
79,800000,5.0,0.0,100.0
80,810000,8.0,0.0,100.0
81,820000,11.0,0.0,100.0
82,830000,16.0,0.0,100.0
83,840000,9.5,0.0,100.0
84,850000,26.0,0.0,100.0
85,860000,14.5,0.0,100.0
86,870000,18.0,0.0,100.0
87,880000,10.0,0.0,100.0
88,890000,20.0,0.0,100.0
89,900000,28.5,0.0,100.0
90,910000,14.0,0.0,100.0
91,920000,32.0,0.0,100.0
92,930000,13.0,0.0,100.0
93,940000,27.5,0.0,100.0
94,950000,30.0,0.0,100.0
95,960000,21.0,0.0,100.0
96,970000,16.0,0.0,100.0
97,980000,16.0,0.0,100.0
98,990000,17.0,0.0,100.0
99,1000000,28.0,0.0,100.0
100,1010000,25.5,0.0,100.0
101,1020000,32.5,0.0,100.0
102,1030000,22.5,0.0,100.0
103,1040000,27.5,0.0,100.0
104,1050000,29.5,0.0,100.0
105,1060000,5.5,0.0,100.0
106,1070000,22.0,0.0,100.0
107,1080000,25.0,0.0,100.0
108,1090000,26.0,0.0,100.0
109,1100000,34.5,0.0,100.0
110,1110000,26.0,0.0,100.0
111,1120000,23.5,0.0,100.0
112,1130000,26.5,0.0,100.0
113,1140000,24.0,0.0,100.0
114,1150000,11.5,0.0,100.0
115,1160000,13.5,0.0,100.0
116,1170000,16.5,0.0,100.0
117,1180000,31.5,0.0,100.0
118,1190000,25.5,0.0,100.0
119,1200000,23.5,0.0,100.0
120,1210000,32.0,0.0,100.0
121,1220000,32.0,0.0,100.0
122,1230000,29.0,0.0,100.0
123,1240000,3.0,0.0,100.0
124,1250000,36.5,0.0,100.0
125,1260000,21.0,0.0,100.0
126,1270000,9.0,0.0,100.0
127,1280000,3.5,0.0,100.0
128,1290000,33.0,0.0,100.0
129,1300000,34.0,0.0,100.0
130,1310000,16.5,0.0,100.0
131,1320000,32.0,0.0,100.0
132,1330000,29.5,0.0,100.0
133,1340000,40.5,0.0,100.0
