,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,46.45302200317383,-53.24499999999999,99.6980241751596,1,40
1,79,-68.55960845947266,-152.86499999999995,84.30539163428949,1,40
2,119,-14.22549819946289,-134.185,119.95950141846394,1,40
3,159,35.948936462402344,-44.26,80.20893769081968,1,40
4,199,-75.97388458251953,-149.49999999999994,73.52611493203666,1,40
5,239,-107.20880126953125,-190.09500000000003,82.88620182918353,1,40
6,279,-136.86004638671875,-232.09999999999997,95.23995190137833,1,40
7,319,-17.753337860107422,-119.20000000000002,101.44666176787494,1,40
8,359,34.66582489013672,-64.90500000000002,99.57082903963294,1,40
9,399,-62.67106246948242,-163.94499999999996,101.27393394002306,1,40
10,439,-65.19295501708984,-155.01,89.81704686791954,1,40
11,479,-98.21336364746094,-170.22499999999997,72.01163572658083,1,40
12,519,-112.18726348876953,-186.69500000000005,74.50773556856676,1,40
13,559,-66.7509994506836,-148.96500000000006,82.21400319265437,1,40
14,599,25.467266082763672,-84.15000000000002,109.61726472835426,1,40
15,639,-38.783668518066406,-123.46499999999996,84.68133151809909,1,40
16,679,-143.39871215820312,-216.03500000000003,72.63629755546071,1,40
17,719,59.86314392089844,-38.92500000000001,98.78814194790081,1,40
18,759,51.68050003051758,-52.605000000000004,104.28550202237537,1,40
19,799,76.93800354003906,-34.93999999999999,111.87800684449824,1,40
20,839,3.55397891998291,-99.65,103.20397868477497,1,40
21,879,-4.538808345794678,-93.35000000000001,88.81119151474952,1,40
22,919,74.85405731201172,-18.879999999999992,93.73405769747366,1,40
23,959,70.93354797363281,-25.48499999999999,96.41855005592225,1,40
24,999,-12.787216186523438,-136.79999999999998,124.01278476246021,1,40
25,1039,76.37165832519531,-27.604999999999997,103.97666290320456,1,40
26,1079,67.72267150878906,-20.799999999999997,88.52267036320131,1,40
27,1119,34.069862365722656,-67.51999999999998,101.58986431876411,1,40
28,1159,22.633834838867188,-71.67999999999998,94.31383275448539,1,40
29,1199,31.272899627685547,-79.37499999999996,110.64789919842848,1,40
30,1239,-27.095775604248047,-104.83000000000001,77.73422513569244,1,40
31,1279,42.59850311279297,-19.399999999999995,61.99850171287928,1,40
32,1319,45.90148162841797,-70.42500000000003,116.32648294759005,1,40
33,1359,80.92735290527344,-33.11499999999999,114.04234842293644,1,40
34,1399,47.29530334472656,-40.19499999999999,87.49030190400804,1,40
35,1439,7.397771835327148,-102.21500000000003,109.61277229779233,1,40
36,1479,17.066648483276367,-24.19499999999999,41.26164848933206,1,40
37,1519,58.1971549987793,-55.73499999999999,113.93215595231743,1,40
38,1559,54.214088439941406,-15.860000000000003,70.07409009314215,1,40
39,1599,55.92683410644531,-55.46,111.38683403818452,1,40
40,1639,42.23174285888672,-18.815000000000005,61.04674173043901,1,40
41,1679,32.90171432495117,-77.90999999999997,110.81171525491864,1,40
42,1719,43.97757339477539,-18.86,62.83757357294272,1,40
43,1759,71.61190795898438,-19.664999999999996,91.27690819865354,1,40
44,1799,51.43622970581055,-60.965,112.40123028076631,1,40
45,1839,63.234901428222656,-43.405,106.63990115784743,1,40
46,1879,80.08673095703125,-15.459999999999996,95.54672870044911,1,40
47,1919,74.4722900390625,-19.635,94.10729126048858,1,40
48,1959,68.78085327148438,-32.95500000000001,101.73585572509597,1,40
49,1999,7.634144306182861,-96.35000000000005,103.98414415115067,1,40
50,2039,61.55481719970703,-39.85,101.40481794209386,1,40
51,2079,39.09084701538086,-65.91999999999999,105.01084782358096,1,40
52,2119,49.37058639526367,-37.935,87.30558665411955,1,40
53,2159,59.05017852783203,-44.92000000000001,103.97017815848405,1,40
54,2199,-16.335426330566406,-81.47499999999995,65.13957458115081,1,40
55,2239,61.381839752197266,-43.050000000000004,104.43183923750813,1,40
56,2279,65.21434020996094,-23.385,88.59934468864815,1,40
57,2319,6.119365215301514,-73.305,79.42436621685383,1,40
58,2359,29.51944351196289,-70.10000000000002,99.61944370063176,1,40
59,2399,64.79844665527344,-35.82500000000001,100.62344537638502,1,40
60,2439,-12.425126075744629,-119.77500000000003,107.34987181670988,1,40
61,2479,15.16342544555664,-68.24999999999999,83.41342496228081,1,40
62,2519,23.880170822143555,-49.765,73.6451692598103,1,40
63,2559,-48.18083190917969,-145.54999999999995,97.36916302596181,1,40
64,2599,42.50730895996094,-47.09000000000001,89.59730738705912,1,40
65,2639,39.05363845825195,-48.599999999999994,87.65363706945699,1,40
66,2679,16.35137939453125,-80.47,96.82137765766687,1,40
67,2719,46.87561798095703,-50.129999999999995,97.0056167124403,1,40
68,2759,26.708463668823242,-67.86500000000001,94.57346365546978,1,40
69,2799,2.0082273483276367,-73.455,75.46322831236064,1,40
70,2839,75.23931121826172,-15.564999999999998,90.80431484934587,1,40
71,2879,51.533653259277344,-15.695,67.22865461582451,1,40
72,2919,44.795570373535156,-15.645,60.44057035732677,1,40
73,2959,63.2847785949707,-33.695,96.97977993886508,1,40
74,2999,73.81805419921875,-14.145,87.96305262652014,1,40
75,3039,8.380460739135742,-69.52000000000001,77.90046087766106,1,40
76,3079,86.31489562988281,-5.830000000000006,92.14489348625416,1,40
77,3119,52.33660125732422,-48.415000000000006,100.75160025917442,1,40
78,3159,29.23665428161621,-70.39000000000001,99.62665471829686,1,40
79,3199,74.54339599609375,-19.17,93.71339502972464,1,40
80,3239,47.17713165283203,-45.274999999999984,92.4521288544854,1,40
81,3279,77.59403228759766,-14.189999999999998,91.7840316730721,1,40
82,3319,47.99732971191406,-41.544999999999995,89.5423304139124,1,40
83,3359,41.71154022216797,-51.87000000000001,93.58154052304953,1,40
84,3399,56.06010437011719,-35.41500000000001,91.47510259288161,1,40
85,3439,2.656148910522461,-97.45499999999997,100.11114921378184,1,40
86,3479,49.66438293457031,-45.79000000000001,95.45438432080789,1,40
87,3519,-0.5931112766265869,-91.00000000000001,90.40688950492036,1,40
88,3559,23.879806518554688,-72.44000000000001,96.31980522337268,1,40
89,3599,66.50700378417969,-24.800000000000004,91.30700165389334,1,40
90,3639,42.899993896484375,-50.155,93.05498978555596,1,40
91,3679,37.84402847290039,-57.27499999999999,95.11902746075214,1,40
92,3719,44.60939407348633,-47.349999999999994,91.95939446904954,1,40
93,3759,-2.189671516418457,-97.65500000000002,95.46532822174065,1,40
94,3799,15.500920295715332,-77.99000000000001,93.49092043419822,1,40
