,Team compo,Mean return,Std,Median return,Success rate,Success std
0,"[0, 0, 0, 0]",5.44468,27.787065690669824,15.0,0.93996,0.2375609361826982
1,"[0, 0, 0, 1]",2.02224,28.511677351260833,11.0,0.91668,0.2763652973873529
2,"[0, 0, 1, 1]",0.21929166666666666,29.124224501806005,-20.0,0.8991666666666667,0.3011079079370421
3,"[0, 0, 1, 2]",-0.15495833333333334,29.169926515418766,-20.0,0.8981666666666667,0.3024290091171076
4,"[0, 1, 2, 3]",-2.0515416666666666,29.438668761623667,-20.0,0.8820416666666666,0.3225587774818034
