,Step,Mean return,Success rate,Mean episode length
0,10000,0.5,0.0,100.0
1,20000,0.0,0.0,100.0
2,30000,0.0,0.0,100.0
3,40000,0.0,0.0,100.0
4,50000,2.0,0.0,100.0
5,60000,0.0,0.0,100.0
6,70000,0.0,0.0,100.0
7,80000,0.0,0.0,100.0
8,90000,0.0,0.0,100.0
9,100000,1.0,0.0,100.0
10,110000,0.0,0.0,100.0
11,120000,0.0,0.0,100.0
12,130000,0.0,0.0,100.0
13,140000,0.0,0.0,100.0
14,150000,3.0,0.0,100.0
15,160000,0.0,0.0,100.0
16,170000,0.0,0.0,100.0
17,180000,0.0,0.0,100.0
18,190000,0.0,0.0,100.0
19,200000,0.0,0.0,100.0
20,210000,0.5,0.0,100.0
21,220000,0.0,0.0,100.0
22,230000,0.0,0.0,100.0
23,240000,2.0,0.0,100.0
24,250000,2.0,0.0,100.0
25,260000,2.5,0.0,100.0
26,270000,9.5,0.0,100.0
27,280000,15.0,0.0,100.0
28,290000,8.5,0.0,100.0
29,300000,4.0,0.0,100.0
30,310000,8.5,0.0,100.0
31,320000,21.5,0.0,100.0
32,330000,20.0,0.0,100.0
33,340000,18.0,0.0,100.0
34,350000,30.5,0.0,100.0
35,360000,26.5,0.0,100.0
36,370000,31.5,0.0,100.0
37,380000,38.0,0.0,100.0
38,390000,24.0,0.0,100.0
39,400000,34.0,0.0,100.0
40,410000,30.5,0.0,100.0
41,420000,28.0,0.0,100.0
42,430000,34.0,0.0,100.0
43,440000,44.0,0.0,100.0
44,450000,37.0,0.0,100.0
45,460000,46.5,0.0,100.0
46,470000,1.0,0.0,100.0
47,480000,23.5,0.0,100.0
48,490000,28.5,0.0,100.0
49,500000,32.5,0.0,100.0
50,510000,31.0,0.0,100.0
51,520000,31.5,0.0,100.0
52,530000,30.5,0.0,100.0
53,540000,14.0,0.0,100.0
54,550000,0.0,0.0,100.0
55,560000,0.0,0.0,100.0
56,570000,1.0,0.0,100.0
57,580000,0.0,0.0,100.0
58,590000,46.0,0.0,100.0
59,600000,0.5,0.0,100.0
60,610000,24.5,0.0,100.0
61,620000,43.0,0.0,100.0
62,630000,39.5,0.0,100.0
63,640000,0.0,0.0,100.0
64,650000,3.5,0.0,100.0
65,660000,0.0,0.0,100.0
66,670000,0.5,0.0,100.0
67,680000,0.0,0.0,100.0
68,690000,1.0,0.0,100.0
69,700000,0.0,0.0,100.0
70,710000,0.0,0.0,100.0
71,720000,46.0,0.0,100.0
72,730000,25.0,0.0,100.0
73,740000,38.0,0.0,100.0
74,750000,37.5,0.0,100.0
