,Step,Episode return,Episode extrinsic return,Episode intrinsic return,Success,Episode length
0,39,-70.29541778564453,-162.37000000000006,92.0745812602348,1,40
1,79,-138.65969848632812,-235.08500000000004,96.42531025144129,1,40
2,119,-68.9002685546875,-157.29999999999998,88.3997315175867,1,40
3,159,-48.44542694091797,-146.87499999999997,98.42957510788439,1,40
4,199,-26.613704681396484,-133.51500000000001,106.90129350250422,1,40
5,239,-239.00588989257812,-315.56,76.55409983178795,1,40
6,279,-115.2919921875,-184.15500000000003,68.86300443589599,1,40
7,319,7.810314178466797,-99.38000000000002,107.19031274545135,1,40
8,359,-93.9478759765625,-177.20499999999998,83.25712608080055,1,40
9,399,59.76490783691406,-25.170000000000005,84.9349085047829,1,40
10,439,-117.51873779296875,-186.42499999999998,68.90626859930387,1,40
11,479,-19.11652374267578,-123.32499999999999,104.20847798348261,1,40
12,519,77.68183898925781,-9.66,87.3418325934164,1,40
13,559,-61.09330749511719,-144.11500000000004,83.02169425820539,1,40
14,599,-158.59161376953125,-215.14499999999992,56.553392495331686,1,40
15,639,-286.32354736328125,-327.52000000000004,41.19643574944777,1,40
16,679,-162.7451171875,-206.80000000000007,44.05487862433466,1,40
17,719,46.5145378112793,-52.92,99.43454138918646,1,40
18,759,43.27360534667969,-17.48,60.75360755183057,1,40
19,799,26.000808715820312,-44.77499999999999,70.77580698211916,1,40
20,839,72.41046905517578,-9.394999999999998,81.80546728281465,1,40
21,879,75.25347900390625,-7.834999999999999,83.08847639140649,1,40
22,919,36.66445541381836,-71.57000000000002,108.23445160977144,1,40
23,959,78.24579620361328,-40.875,119.12080142760236,1,40
24,999,84.48664855957031,-19.800000000000004,104.28664638080143,1,40
25,1039,34.05138397216797,-63.18000000000001,97.23138308509576,1,40
26,1079,56.19584655761719,-18.919999999999998,75.11584821156393,1,40
27,1119,87.91213989257812,-29.055,116.96713163461638,1,40
28,1159,86.41819763183594,-29.640000000000004,116.05819827403289,1,40
29,1199,67.22079467773438,-21.944999999999997,89.16578919153835,1,40
30,1239,82.00606536865234,-25.955,107.96106807835032,1,40
31,1279,55.758792877197266,-47.65000000000001,103.40879629581919,1,40
32,1319,72.15242004394531,-18.305000000000003,90.45742247754691,1,40
33,1359,41.94251251220703,-71.39000000000001,113.33251004358328,1,40
34,1399,75.23765563964844,-30.810000000000013,106.0476568863092,1,40
35,1439,69.61528778076172,-23.93,93.54529284510001,1,40
36,1479,44.68272399902344,-46.139999999999986,90.82272481925365,1,40
37,1519,75.30195617675781,-14.429999999999998,89.73196096752791,1,40
38,1559,78.24171447753906,-20.24500000000001,98.48671939615082,1,40
39,1599,43.979591369628906,-39.92,83.899591002984,1,40
40,1639,56.5825080871582,-19.93,76.51250865689835,1,40
41,1679,50.89949417114258,-31.224999999999994,82.12449425073002,1,40
42,1719,49.239845275878906,-46.720000000000006,95.959847352719,1,40
43,1759,66.84150695800781,-19.825000000000006,86.6665065478737,1,40
44,1799,75.94815063476562,-9.055,85.00315271573413,1,40
45,1839,5.351888656616211,-95.915,101.26688686934915,1,40
46,1879,42.557334899902344,-49.1,91.65733565469894,1,40
47,1919,42.65312957763672,-55.88999999999998,98.54313230295978,1,40
48,1959,54.10227966308594,-48.11000000000001,102.21227610493104,1,40
49,1999,59.487266540527344,-45.75500000000001,105.24226464080452,1,40
50,2039,45.975807189941406,-34.95000000000001,80.92580650757054,1,40
51,2079,37.61652755737305,-62.62000000000003,100.23652666192652,1,40
52,2119,44.05516052246094,-32.5,76.55515896998995,1,40
53,2159,34.18097686767578,-63.70999999999999,97.8909751300694,1,40
54,2199,22.49186897277832,-79.14,101.63186818077314,1,40
55,2239,8.284138679504395,-97.06500000000004,105.34913851342259,1,40
56,2279,45.40029525756836,-20.73,66.13029579247319,1,40
57,2319,76.1427993774414,-15.400000000000002,91.54279759566658,1,40
58,2359,49.8001708984375,-50.74,100.54016860866933,1,40
59,2399,10.182371139526367,-64.76,74.94237049042002,1,40
60,2439,61.625484466552734,-17.894999999999996,79.52048621611056,1,40
61,2479,70.23377227783203,-24.59,94.82377448335868,1,40
62,2519,42.105255126953125,-50.79500000000001,92.90025672112208,1,40
63,2559,-27.80413055419922,-113.0,85.19586828181916,1,40
64,2599,43.4422607421875,-52.75499999999999,96.19726054438217,1,40
65,2639,39.29180908203125,-60.025000000000006,99.31680636660565,1,40
66,2679,47.48811721801758,-50.57,98.0581225453614,1,40
67,2719,42.23432922363281,-47.309999999999995,89.54433086405558,1,40
68,2759,33.232444763183594,-47.685,80.91744862679955,1,40
69,2799,52.01388931274414,-40.305,92.31889063025027,1,40
70,2839,47.15747833251953,-39.739999999999995,86.897477593312,1,40
71,2879,72.30514526367188,-24.034999999999993,96.34014639580161,1,40
72,2919,46.44794464111328,-48.855,95.30294004317155,1,40
73,2959,25.029211044311523,-69.13500000000002,94.16421032653628,1,40
74,2999,73.53600311279297,-10.874999999999996,84.41100574237274,1,40
75,3039,67.8529052734375,-18.290000000000006,86.14290913331469,1,40
76,3079,50.83299255371094,-27.610000000000003,78.44299278120334,1,40
77,3119,15.416082382202148,-79.72500000000004,95.14108087240578,1,40
78,3159,42.58912658691406,-47.83499999999999,90.42413097174352,1,40
79,3199,44.319549560546875,-46.95,91.26954857457015,1,40
80,3239,32.78899002075195,-55.71499999999999,88.50398943751462,1,40
81,3279,36.4361572265625,-61.995000000000005,98.43115987427738,1,40
82,3319,41.032859802246094,-54.76499999999999,95.79786192848172,1,40
83,3359,60.525604248046875,-17.82,78.34560717894726,1,40
