,Team compo,Mean return,Std
0,"[0, 0, 0, 0]",-1.3873333333333333,2.1683986923277945
1,"[0, 0, 0, 1]",-4.8373333333333335,3.3784129739009443
2,"[0, 0, 1, 1]",-6.158833333333334,4.232820096841138
3,"[0, 0, 1, 2]",-8.141333333333334,5.102146824839738
4,"[0, 1, 2, 3]",-6.371833333333334,5.409944852358068
