,Team compo,Mean return,Std return,Median return,Ci lower return,Ci upper return,Mean success rate,Std success rate,Median success rate,Ci lower success rate,Ci upper success rate
0,AAAA,1.764,1.9569466012132268,2.134,5.359666739944619,-1.831666739944619,0.497,0.04073082370883262,0.508,0.5718382546614207,0.4221617453385793
1,AAAB,-0.6155833333333334,2.623234929062884,-0.34199999999999997,0.15418531501457,-1.3853519816812367,0.46141666666666664,0.045029542771631854,0.466,0.47463024883234245,0.44820308450099083
2,AABB,-1.115888888888889,2.757132082615495,-1.168,-0.16977661431464208,-2.062001163463136,0.45199999999999996,0.04308131845707604,0.448,0.4667833919361657,0.4372166080638342
3,AABC,-1.9204722222222221,2.9268144038841872,-1.934,-1.436671833420039,-2.404272611024405,0.4433888888888889,0.04746535448664858,0.442,0.4512348790291584,0.4355428987486194
4,ABCD,-2.6535,3.5055251270910417,-2.446,-1.1414095111199973,-4.165590488880003,0.4335,0.055194353575947125,0.434,0.45730780455318704,0.40969219544681296
