Wall time,Step,Value
1641507720.9597006,4,-608.50341796875
1641507768.7888856,14,-262.40264892578125
1641507773.563624,15,-295.51953125
1641507788.0071907,18,-231.97705078125
1641507792.752462,19,-268.9067687988281
1641507797.5208614,20,-372.145751953125
1641507806.9237535,22,-224.61134338378906
1641507825.3467155,26,-242.50125122070312
1641507830.0137556,27,-244.31504821777344
1641507890.907443,40,-233.96890258789062
1641507923.8998919,47,-282.3526916503906
1641507928.6097505,48,-266.62225341796875
1641507933.3148634,49,-217.37644958496094
1641507942.7330034,51,-209.43960571289062
1641507956.8796515,54,-250.180908203125
1641507985.065875,60,-217.12554931640625
1641507989.802299,61,-208.51229858398438
1641507994.5459673,62,-211.856201171875
1641507999.2819777,63,-215.0298309326172
1641508013.5642512,66,-214.0933074951172
1641508018.3030884,67,-184.94192504882812
1641508023.0493681,68,-206.14767456054688
1641508032.5641313,70,-200.0037384033203
1641508037.3112032,71,-225.69517517089844
1641508065.929457,77,-181.6934051513672
1641508089.663759,82,-184.58978271484375
1641508122.9302204,89,-198.70458984375
1641508170.1805184,99,-190.70057678222656
1641508188.9514468,103,-211.80889892578125
1641508203.0883563,106,-183.242431640625
1641508207.7961714,107,-173.37950134277344
1641508217.1338892,109,-208.96014404296875
1641508250.0277414,116,-196.1122283935547
1641508273.605752,121,-241.3660125732422
1641508292.110999,125,-196.4951934814453
1641508296.718179,126,-199.08680725097656
1641508305.9827251,128,-180.83966064453125
1641508315.4046016,130,-167.86561584472656
1641508343.538454,136,-180.79367065429688
1641508348.2664328,137,-191.71072387695312
1641508381.2882605,144,-191.82383728027344
1641508390.7081966,146,-183.65232849121094
1641508395.42356,147,-192.84202575683594
1641508409.6317775,150,-187.41690063476562
1641508442.5965528,157,-193.87564086914062
1641508456.7848527,160,-180.88685607910156
1641508466.140161,162,-175.98626708984375
1641508475.5811667,164,-178.8802032470703
1641508504.2013605,170,-173.25865173339844
1641508508.939738,171,-180.51609802246094
1641508513.7490475,172,-202.98243713378906
1641508537.4867058,177,-176.5733642578125
1641508570.6712852,184,-159.55935668945312
1641508575.388947,185,-185.16563415527344
1641508580.0324209,186,-177.3606719970703
1641508598.9273643,190,-176.49099731445312
1641508603.6095455,191,-175.4724884033203
1641508608.2464504,192,-177.5721893310547
1641508640.6744788,199,-183.34930419921875
1641508654.7215612,202,-197.64239501953125
1641508659.339699,203,-191.54261779785156
1641508663.9682202,204,-203.14723205566406
1641508668.596968,205,-187.818603515625
1641508677.8590388,207,-198.2954559326172
1641508696.4393663,211,-165.267333984375
1641508705.7467039,213,-163.2115020751953
1641508715.223037,215,-181.38909912109375
1641508733.9936194,219,-199.45933532714844
1641508738.6796927,220,-185.01487731933594
1641508743.3173766,221,-174.66787719726562
1641508757.1140797,224,-168.47628784179688
1641508780.9045746,229,-192.2973175048828
1641508828.4783692,239,-189.13116455078125
1641508851.974082,244,-190.01913452148438
1641508856.6709714,245,-176.83084106445312
1641508861.375104,246,-174.686279296875
1641508918.0332763,258,-176.1958770751953
1641508922.7813647,259,-170.55905151367188
1641508927.5248032,260,-182.8231964111328
1641508980.104649,271,-167.95468139648438
1641508994.4148817,274,-192.90777587890625
1641509003.79648,276,-196.13192749023438
1641509013.1674418,278,-175.216552734375
1641509031.9097986,282,-187.75721740722656
1641509045.9722617,285,-176.19178771972656
1641509060.0165708,288,-197.41233825683594
1641509069.3962097,290,-190.4285888671875
1641509092.9900699,295,-194.19871520996094
1641509102.4150498,297,-156.6640625
1641509107.1293314,298,-169.63368225097656
1641509144.71867,306,-190.49102783203125
1641509154.0842888,308,-168.86660766601562
1641509172.9644804,312,-179.1867218017578
1641509192.0300872,316,-186.65618896484375
1641509201.5017555,318,-198.70924377441406
1641509206.2320051,319,-177.2854461669922
1641509220.4795482,322,-177.8628692626953
1641509291.4435787,337,-182.7050323486328
1641509296.2612052,338,-164.2896270751953
1641509320.1894226,343,-206.68765258789062
1641509329.7460065,345,-179.6999053955078
1641509334.5545447,346,-188.80624389648438
1641509363.4519315,352,-175.4022979736328
1641509373.0921695,354,-184.1306610107422
1641509392.2162304,358,-182.77777099609375
1641509410.9630394,362,-170.36805725097656
1641509415.6792443,363,-176.92457580566406
1641509420.3745062,364,-172.4009552001953
1641509425.079323,365,-176.68905639648438
1641509429.769796,366,-148.08843994140625
1641509434.458611,367,-170.7613067626953
1641509486.4228997,378,-161.07461547851562
1641509523.790071,386,-170.89942932128906
1641509542.6161158,390,-176.8754119873047
1641509552.0318196,392,-159.3697509765625
1641509561.4498441,394,-165.203125
1641509575.5411553,397,-182.49964904785156
1641509599.1775625,402,-172.58038330078125
1641509608.6483788,404,-210.47708129882812
1641509632.2132533,409,-210.2647247314453
1641509655.7465646,414,-165.10435485839844
1641509660.467898,415,-155.228515625
1641509688.8460083,421,-218.718505859375
1641509693.51085,422,-190.23092651367188
1641509712.1960094,426,-178.451171875
1641509730.988292,430,-177.9969482421875
1641509754.6706128,435,-157.52117919921875
1641509759.4178824,436,-172.29879760742188
1641509764.1875377,437,-214.47035217285156
1641509773.7062006,439,-151.8932342529297
1641509792.6209528,443,-181.89761352539062
1641509797.3879228,444,-180.54397583007812
1641509806.9098752,446,-176.75901794433594
1641509825.870259,450,-169.63528442382812
1641509835.2538505,452,-195.693115234375
1641509854.1747677,456,-180.06771850585938
1641509877.842737,461,-183.04196166992188
1641509896.736239,465,-170.6473388671875
1641509901.4736207,466,-169.73289489746094
1641509910.8992517,468,-156.9246368408203
1641509920.2813456,470,-195.20492553710938
1641509939.1266782,474,-171.985595703125
