,Step,Ratio_gen_perf
293,7350000,0.70146
294,7375000,0.70097
295,7400000,0.70368
296,7425000,0.70284
297,7450000,0.71714
298,7475000,0.71338
299,7500000,0.70834
300,7525000,0.70897
301,7550000,0.70501
302,7575000,0.7039
303,7600000,0.69734
304,7625000,0.69445
305,7650000,0.70038
306,7675000,0.68886
307,7700000,0.68965
308,7725000,0.70117
309,7750000,0.6891
310,7775000,0.70292
311,7800000,0.69486
312,7825000,0.70755
313,7850000,0.70143
314,7875000,0.69385
315,7900000,0.69482
316,7925000,0.67981
317,7950000,0.68396
318,7975000,0.69105
319,8000000,0.69702
320,8025000,0.68156
321,8050000,0.68455
322,8075000,0.69339
323,8100000,0.67723
324,8125000,0.68084
325,8150000,0.69443
326,8175000,0.68576
327,8200000,0.67603
328,8225000,0.66857
329,8250000,0.6819
330,8275000,0.67427
331,8300000,0.68207
332,8325000,0.67377
333,8350000,0.67266
334,8375000,0.67151
335,8400000,0.66655
336,8425000,0.66951
337,8450000,0.66219
338,8475000,0.66999
339,8500000,0.67407
340,8525000,0.6658
341,8550000,0.66836
342,8575000,0.66416
343,8600000,0.65676
344,8625000,0.66231
345,8650000,0.66517
346,8675000,0.66365
347,8700000,0.66829
348,8725000,0.66865
349,8750000,0.66785
350,8775000,0.67325
351,8800000,0.67118
352,8825000,0.66555
353,8850000,0.67309
354,8875000,0.66516
355,8900000,0.66691
356,8925000,0.664
357,8950000,0.66436
358,8975000,0.66267
359,9000000,0.65969
360,9025000,0.65485
361,9050000,0.65533
362,9075000,0.66297
363,9100000,0.65862
364,9125000,0.66096
365,9150000,0.66533
366,9175000,0.66255
367,9200000,0.66906
368,9225000,0.66178
369,9250000,0.65953
370,9275000,0.65947
371,9300000,0.65458
372,9325000,0.65923
373,9350000,0.66265
374,9375000,0.66411
375,9400000,0.66918
376,9425000,0.66234
377,9450000,0.67048
378,9475000,0.67089
379,9500000,0.66609
380,9525000,0.66315
381,9550000,0.65658
382,9575000,0.66482
383,9600000,0.66132
384,9625000,0.66488
385,9650000,0.66639
386,9675000,0.67478
387,9700000,0.68004
388,9725000,0.67856
389,9750000,0.6813
390,9775000,0.68401
391,9800000,0.68999
392,9825000,0.6923
393,9850000,0.68393
394,9875000,0.68382
395,9900000,0.67856
396,9925000,0.69328
397,9950000,0.68593
398,9975000,0.68626
399,10000000,0.68589
