Wall time,Step,Value
1641413932.1379867,4,-357.3035583496094
1641414038.5202127,14,-291.882568359375
1641414049.2183506,15,-252.6634521484375
1641414081.9303281,18,-214.3779754638672
1641414092.6114328,19,-241.11630249023438
1641414103.3801646,20,-250.4297637939453
1641414124.8024147,22,-236.9712677001953
1641414167.2352343,26,-215.48406982421875
1641414177.8238692,27,-214.32713317871094
1641414316.763117,40,-224.11932373046875
1641414391.7399652,47,-206.46923828125
1641414402.3323343,48,-206.4683074951172
1641414412.9550173,49,-216.73956298828125
1641414434.1330113,51,-194.94033813476562
1641414466.271369,54,-196.02377319335938
1641414531.0916207,60,-195.8700408935547
1641414541.7432342,61,-199.88455200195312
1641414552.348501,62,-196.17283630371094
1641414563.1064928,63,-205.30111694335938
1641414595.2730672,66,-197.2931365966797
1641414605.989853,67,-201.91896057128906
1641414616.7198133,68,-209.31336975097656
1641414638.058478,70,-193.88790893554688
1641414648.7583413,71,-197.8110809326172
1641414712.9476533,77,-190.07093811035156
1641414766.4760556,82,-202.5250244140625
1641414841.256716,89,-211.0025634765625
1641414948.1229324,99,-198.80348205566406
1641414991.5502656,103,-233.96926879882812
1641415023.795813,106,-186.5938720703125
1641415034.464176,107,-179.68905639648438
1641415055.80493,109,-195.1317138671875
1641415131.12324,116,-180.3572235107422
1641415184.871743,121,-178.66159057617188
1641415227.2373273,125,-173.00550842285156
1641415237.8384762,126,-176.46115112304688
1641415259.047653,128,-168.26693725585938
1641415280.2511795,130,-202.4052734375
1641415343.8842163,136,-192.65310668945312
1641415354.4758224,137,-184.81031799316406
1641415429.655904,144,-182.45692443847656
1641415451.031777,146,-191.78375244140625
1641415461.7660348,147,-198.6862335205078
1641415493.8575685,150,-197.31866455078125
1641415569.2069428,157,-175.5490264892578
1641415601.5451071,160,-195.6238555908203
1641415623.0007324,162,-186.95928955078125
1641415644.6373022,164,-196.26939392089844
1641415709.114058,170,-190.2298583984375
1641415719.759496,171,-199.9364013671875
1641415730.5413542,172,-183.47738647460938
1641415784.2499254,177,-180.5674285888672
1641415859.5214093,184,-195.66830444335938
1641415870.3806272,185,-182.34291076660156
1641415881.185023,186,-197.00320434570312
1641415924.2034883,190,-199.0203857421875
1641415934.986577,191,-195.12474060058594
1641415945.7149816,192,-199.20362854003906
1641416020.1779325,199,-170.80528259277344
1641416052.0686965,202,-197.86827087402344
1641416062.7806149,203,-207.55653381347656
1641416073.4730542,204,-192.1460723876953
1641416084.1297028,205,-178.919677734375
1641416105.3539903,207,-189.2126922607422
1641416147.8284461,211,-176.3982391357422
1641416169.098838,213,-178.7952880859375
1641416190.324437,215,-198.4833526611328
1641416232.8953805,219,-194.87025451660156
1641416243.4778376,220,-185.89239501953125
1641416254.000219,221,-182.27259826660156
1641416285.653405,224,-182.95419311523438
1641416338.955818,229,-177.82992553710938
1641416446.4295008,239,-178.24290466308594
1641416499.7863166,244,-172.38246154785156
1641416510.4440947,245,-191.13897705078125
1641416521.1045692,246,-182.34820556640625
1641416650.5224845,258,-189.2364044189453
1641416661.2485633,259,-175.1660614013672
1641416671.9906337,260,-172.26461791992188
1641416791.2257278,271,-185.50672912597656
1641416823.5738451,274,-182.2758331298828
1641416845.3497162,276,-170.34939575195312
1641416866.918506,278,-191.92527770996094
1641416909.4076018,282,-187.1226043701172
1641416941.9948244,285,-190.45358276367188
1641416974.435778,288,-173.04721069335938
1641416996.0115068,290,-192.05235290527344
1641417050.027392,295,-187.9608612060547
1641417071.765413,297,-167.1239013671875
1641417082.6638126,298,-177.7197723388672
1641417169.2392263,306,-190.5664825439453
1641417190.8508945,308,-171.8654327392578
1641417234.4475768,312,-193.95249938964844
1641417277.7936945,316,-199.34642028808594
1641417299.4347959,318,-183.34471130371094
1641417310.3179727,319,-178.7187957763672
1641417342.5793045,322,-182.43321228027344
1641417503.5764549,337,-165.86842346191406
1641417514.292628,338,-197.5706024169922
1641417567.419094,343,-179.76275634765625
1641417588.9821203,345,-165.13427734375
1641417599.862287,346,-176.9485321044922
1641417665.1129634,352,-195.68031311035156
1641417686.749203,354,-174.6039276123047
1641417729.8692734,358,-199.86361694335938
1641417773.1611733,362,-182.51617431640625
1641417784.0444636,363,-188.28781127929688
1641417794.7882102,364,-174.37950134277344
1641417805.4779444,365,-184.35560607910156
1641417816.258931,366,-194.39573669433594
1641417827.0001125,367,-184.0630645751953
1641417946.1126354,378,-197.34153747558594
1641418032.5516875,386,-176.3751220703125
1641418075.6480331,390,-182.47035217285156
1641418097.2692037,392,-166.0994415283203
1641418118.9045918,394,-173.56634521484375
1641418151.1311927,397,-182.86392211914062
1641418204.8228323,402,-181.0588836669922
1641418226.2763798,404,-168.3297119140625
1641418280.3459296,409,-195.04527282714844
1641418334.15329,414,-189.05926513671875
1641418344.9631631,415,-171.67868041992188
1641418409.4495995,421,-179.72079467773438
1641418420.2524633,422,-187.7794647216797
1641418463.4616182,426,-176.6514892578125
1641418507.057025,430,-181.40625
1641418561.1745946,435,-195.78897094726562
1641418571.906603,436,-198.21115112304688
1641418582.63888,437,-176.96881103515625
1641418604.080987,439,-182.44900512695312
1641418646.7492728,443,-169.94989013671875
1641418657.6867616,444,-186.8762664794922
1641418679.3606477,446,-186.3007354736328
1641418722.5237763,450,-200.21766662597656
1641418744.1119902,452,-177.41253662109375
1641418787.2261667,456,-188.80001831054688
1641418841.0021462,461,-186.5059814453125
1641418884.2442808,465,-185.98257446289062
1641418895.044015,466,-199.0587158203125
1641418916.637512,468,-184.12525939941406
1641418938.2567854,470,-184.00714111328125
1641418981.499737,474,-202.59548950195312
1641418992.259873,475,-167.8288116455078
1641419046.5306365,480,-169.49139404296875
1641419057.202985,481,-173.49777221679688
