,Step,Episode extrinsic return,Success,Episode length
0,99,-7.630280640322292,0,100
1,199,-10.000001579710734,0,100
2,299,-2.4457951723325384,0,100
3,399,-10.000000000150585,0,100
4,499,-15.265055275232207,0,100
5,599,-9.99999999999998,0,100
6,699,-9.99999999999998,0,100
7,799,-15.99999999999998,0,100
8,899,-8.946097566097714,0,100
9,999,-7.4535508271229824,0,100
10,1099,-12.99999999999997,0,100
11,1199,-12.53355571581193,0,100
12,1299,-13.60747970755178,0,100
13,1399,-0.4134300125145872,0,100
14,1499,-9.99999999999998,0,100
15,1599,-10.000000004628834,0,100
16,1699,-21.571162444419947,0,100
17,1799,-18.975809913969478,0,100
18,1899,-14.454158420246586,0,100
19,1999,-9.99999999999998,0,100
20,2099,-16.000000000013703,0,100
21,2199,-9.99999999999998,0,100
22,2299,-9.101729935491504,0,100
23,2399,-14.047154950661774,0,100
24,2499,-9.99999999999998,0,100
25,2599,-15.122085835085688,0,100
26,2699,-9.99999999999998,0,100
27,2799,-12.999999999999975,0,100
28,2899,-10.000000000001114,0,100
29,2999,-9.792726285835219,0,100
30,3099,-9.99999990688854,0,100
31,3199,-9.99999999999998,0,100
32,3299,-10.000010816787759,0,100
33,3399,-10.00000000007255,0,100
34,3499,-9.99999999999998,0,100
35,3599,-9.999711551508426,0,100
36,3699,-19.34962235251319,0,100
37,3799,-10.000000000002025,0,100
38,3899,-12.999999999999972,0,100
39,3999,-9.99999999999998,0,100
40,4099,-9.99999999999998,0,100
41,4199,0.6067747831422023,0,100
42,4299,-15.266547233741463,0,100
43,4399,-9.99999999999998,0,100
44,4499,-14.575421949419859,0,100
45,4599,-12.999999999999968,0,100
46,4699,-10.000000000001492,0,100
47,4799,-18.914713647873356,0,100
48,4899,-9.99999999999998,0,100
49,4999,-9.932165028938384,0,100
50,5099,-9.99999999999998,0,100
51,5199,-14.61170946646748,0,100
52,5299,-12.405688098503315,0,100
53,5399,-11.140354018009637,0,100
54,5499,-10.000000515500968,0,100
55,5599,-12.21106171990268,0,100
56,5699,-9.99999999999812,0,100
57,5799,-11.029277682177835,0,100
58,5899,-9.99999999999998,0,100
59,5999,-9.99999999999998,0,100
60,6099,-9.99999999999998,0,100
61,6199,-9.99999999999998,0,100
62,6299,-9.99999999999998,0,100
63,6399,-9.99999999999998,0,100
64,6499,-8.893431499046091,0,100
65,6599,-9.999999932835134,0,100
66,6699,-9.99999999999998,0,100
67,6799,-9.99999999999998,0,100
68,6899,-9.99999999999998,0,100
69,6999,-8.257083763880281,0,100
70,7099,-9.99999999999998,0,100
71,7199,-9.99999999999998,0,100
72,7299,-12.88146598687433,0,100
73,7399,-9.99999999999998,0,100
74,7499,-18.925132613992137,0,100
75,7599,-9.99999999999998,0,100
76,7699,-9.99999999999998,0,100
77,7799,-9.99999999999998,0,100
78,7899,-12.554843993428843,0,100
79,7999,-9.99999999999998,0,100
80,8099,-19.206902085521158,0,100
81,8199,-9.99999999999998,0,100
82,8299,-5.254924183855101,0,100
83,8399,-9.99999999999998,0,100
84,8499,-9.99999999999998,0,100
85,8599,-9.99999999999998,0,100
86,8699,-9.99999999999998,0,100
87,8799,-9.99999999999998,0,100
88,8899,-9.99999999999998,0,100
89,8999,-10.000096098071305,0,100
90,9099,-14.899920947683777,0,100
91,9199,-7.91372204162373,0,100
92,9299,-9.999989270063576,0,100
93,9399,-9.99999999999998,0,100
94,9499,-12.999999999999973,0,100
95,9599,-9.99999999999998,0,100
96,9699,-9.99999999999998,0,100
97,9799,-9.99999999999998,0,100
98,9899,-9.99999999986911,0,100
99,9999,-9.99999999999996,0,100
100,10099,-9.99999999999998,0,100
101,10199,-10.42432150778066,0,100
102,10299,-15.34912488977065,0,100
103,10399,-9.99999999999998,0,100
104,10499,-9.99999999999998,0,100
105,10599,-9.99999999999998,0,100
106,10699,-9.99999999999998,0,100
107,10799,-9.99999999999998,0,100
108,10899,-9.99999999999998,0,100
109,10999,-9.99999999999998,0,100
110,11099,-9.99999999999998,0,100
111,11199,-10.707228320708975,0,100
112,11299,-9.99999999999998,0,100
113,11399,-9.99999999999998,0,100
114,11499,-10.000605919434152,0,100
115,11599,-9.99999999999998,0,100
