,Step,Episode extrinsic return,Success,Episode length
0,99,-14.444320336090854,0,100
1,199,-9.99999999999998,0,100
2,299,-12.591669018377695,0,100
3,399,-22.00000000000007,0,100
4,499,-19.007629525679878,0,100
5,599,-25.000000000000025,0,100
6,699,-12.191531576816326,0,100
7,799,-1.60007774958762,0,100
8,899,-2.672811924022459,0,100
9,999,-9.182383185829272,0,100
10,1099,-12.99999999999998,0,100
11,1199,-6.414863257586019,0,100
12,1299,-10.000005396670382,0,100
13,1399,-21.785838128336138,0,100
14,1499,-4.640750601159658,0,100
15,1599,-22.000000000000032,0,100
16,1699,-22.71375072931069,0,100
17,1799,-17.079601895431473,0,100
18,1899,-13.000000000000481,0,100
19,1999,-10.000002879490161,0,100
20,2099,-9.99999999999998,0,100
21,2199,-31.000000000000064,0,100
22,2299,-10.000000000000082,0,100
23,2399,-9.436146273402066,0,100
24,2499,-3.0741870149716806,0,100
25,2599,-19.00000000000002,0,100
26,2699,-31.000000000000064,0,100
27,2799,-12.99999999999998,0,100
28,2899,-9.99999999999998,0,100
29,2999,-29.817897801891124,0,100
30,3099,-15.168875580293367,0,100
31,3199,-11.261208635120742,0,100
32,3299,-9.999999999905029,0,100
33,3399,-9.99999999999998,0,100
34,3499,-16.141542025071836,0,100
35,3599,-9.999999999983585,0,100
36,3699,-10.000000000003157,0,100
37,3799,-9.999999999999993,0,100
38,3899,-17.057293130318214,0,100
39,3999,-5.935748053965528,0,100
40,4099,-34.056166329685,0,100
41,4199,-15.999999999999975,0,100
42,4299,-10.005111853896437,0,100
43,4399,-9.999999996654639,0,100
44,4499,-1.9118392823047368,0,100
45,4599,-12.99999999999998,0,100
46,4699,-25.000000000032067,0,100
47,4799,-9.99999999999998,0,100
48,4899,0.8939626393530793,0,100
49,4999,-32.079216529536275,0,100
50,5099,-10.11380350690975,0,100
51,5199,-9.99999999999998,0,100
52,5299,-9.99999999999998,0,100
53,5399,-15.99999999999998,0,100
54,5499,-15.99999999999998,0,100
55,5599,-13.0960329000765,0,100
56,5699,-9.999999999990035,0,100
57,5799,-10.000000993916352,0,100
58,5899,-10.795982420623988,0,100
59,5999,-0.40779652935080823,0,100
60,6099,-10.004226428828872,0,100
61,6199,-9.99999999999998,0,100
62,6299,-5.635913902175361,0,100
63,6399,-9.99999999999998,0,100
64,6499,-10.000000181484276,0,100
65,6599,-8.575897864683872,0,100
66,6699,-9.99999999999998,0,100
67,6799,-10.00107199798592,0,100
68,6899,-9.99999999999998,0,100
69,6999,-9.045770856531686,0,100
70,7099,-9.99999999999998,0,100
71,7199,-10.00000000001307,0,100
72,7299,-18.99997254606338,0,100
73,7399,-53.71018281480117,0,100
74,7499,-10.000000030510588,0,100
75,7599,-9.999995303446315,0,100
76,7699,-11.295323661560532,0,100
77,7799,-13.7206390828605,0,100
78,7899,-9.99999999999998,0,100
79,7999,-9.99999999999998,0,100
80,8099,-9.99999999999998,0,100
81,8199,-9.99999999999998,0,100
82,8299,-10.000000000008152,0,100
83,8399,-16.1277291501663,0,100
84,8499,-9.950035047828194,0,100
85,8599,-10.000000075710934,0,100
86,8699,-9.99999999999998,0,100
87,8799,-4.3289892227251,0,100
88,8899,-9.99999999999998,0,100
89,8999,-10.000000000037495,0,100
90,9099,-10.000014480535796,0,100
91,9199,-9.99999999999998,0,100
92,9299,-10.000000009613114,0,100
93,9399,-9.999468634885163,0,100
94,9499,-5.187973206152754,0,100
95,9599,-9.99999999999998,0,100
96,9699,-9.99999999999998,0,100
97,9799,-11.755714998256158,0,100
98,9899,-10.357734244895244,0,100
99,9999,-9.99999999999998,0,100
100,10099,-10.000030985995606,0,100
101,10199,-9.99999999999945,0,100
102,10299,-9.99999999999998,0,100
103,10399,-13.000000002010154,0,100
104,10499,-11.566318435689194,0,100
105,10599,-90.99999999999983,0,100
106,10699,-10.00000002290809,0,100
107,10799,-9.99999999999998,0,100
108,10899,-9.99999999999998,0,100
109,10999,-79.00000000000004,0,100
110,11099,-61.09833752091261,0,100
111,11199,-9.99999999999998,0,100
112,11299,-10.000000095754741,0,100
113,11399,-90.99999999999986,0,100
114,11499,-9.99999999999998,0,100
115,11599,-9.99999999999998,0,100
116,11699,-9.999683479405208,0,100
117,11799,-10.012691866769524,0,100
118,11899,-9.99999999999998,0,100
119,11999,-9.99999999999998,0,100
120,12099,-9.99999999999998,0,100
121,12199,-9.99999999999998,0,100
122,12299,-9.99999999999998,0,100
123,12399,-8.355679708789252,0,100
124,12499,-10.00000000000384,0,100
125,12599,-0.549697309593481,0,100
126,12699,-9.99999999999998,0,100
127,12799,-10.699121167244776,0,100
128,12899,-9.815630574290502,0,100
129,12999,-9.99999999999998,0,100
130,13099,-9.99999999999998,0,100
131,13199,-9.999999999996424,0,100
132,13299,-6.078131555467047,0,100
133,13399,-9.99999999999998,0,100
134,13499,-4.074408826328889,0,100
135,13599,-16.95451725009341,0,100
136,13699,-12.655928604608194,0,100
137,13799,-7.317978087360647,0,100
138,13899,-9.99999999999998,0,100
139,13999,-15.99999999999998,0,100
140,14099,-18.27621837610214,0,100
141,14199,-18.146674597744447,0,100
142,14299,-6.540631316098352,0,100
143,14399,-9.99999999999998,0,100
