,Step,Ratio_gen_perf
293,7350000,0.68517
294,7375000,0.6799
295,7400000,0.68858
296,7425000,0.68025
297,7450000,0.67207
298,7475000,0.68208
299,7500000,0.67033
300,7525000,0.67342
301,7550000,0.66712
302,7575000,0.66497
303,7600000,0.66812
304,7625000,0.66418
305,7650000,0.67846
306,7675000,0.67862
307,7700000,0.67837
308,7725000,0.67929
309,7750000,0.66555
310,7775000,0.65687
311,7800000,0.65695
312,7825000,0.66152
313,7850000,0.66385
314,7875000,0.67948
315,7900000,0.65986
316,7925000,0.66427
317,7950000,0.6666
318,7975000,0.65776
319,8000000,0.64724
320,8025000,0.6301
321,8050000,0.63692
322,8075000,0.64563
323,8100000,0.64579
324,8125000,0.64053
325,8150000,0.65392
326,8175000,0.65049
327,8200000,0.65835
328,8225000,0.64977
329,8250000,0.64595
330,8275000,0.647
331,8300000,0.64744
332,8325000,0.64602
333,8350000,0.6371
334,8375000,0.63434
335,8400000,0.63969
336,8425000,0.63579
337,8450000,0.64086
338,8475000,0.64297
339,8500000,0.64499
340,8525000,0.65266
341,8550000,0.65932
342,8575000,0.65526
343,8600000,0.6563
344,8625000,0.65457
345,8650000,0.64232
346,8675000,0.63305
347,8700000,0.63251
348,8725000,0.63174
349,8750000,0.64258
350,8775000,0.64245
351,8800000,0.64274
352,8825000,0.63811
353,8850000,0.64474
354,8875000,0.6448
355,8900000,0.64474
356,8925000,0.65274
357,8950000,0.64721
358,8975000,0.6492
359,9000000,0.65415
360,9025000,0.64939
361,9050000,0.65213
362,9075000,0.63969
363,9100000,0.64977
364,9125000,0.64298
365,9150000,0.65113
366,9175000,0.64692
367,9200000,0.64713
368,9225000,0.65014
369,9250000,0.65395
370,9275000,0.6444
371,9300000,0.65077
372,9325000,0.6571
373,9350000,0.64154
374,9375000,0.64645
375,9400000,0.64415
376,9425000,0.64553
377,9450000,0.64643
378,9475000,0.63999
379,9500000,0.63024
380,9525000,0.63096
381,9550000,0.63829
382,9575000,0.64205
383,9600000,0.64157
384,9625000,0.64386
385,9650000,0.64352
386,9675000,0.64463
387,9700000,0.64155
388,9725000,0.64325
389,9750000,0.6471
390,9775000,0.64169
391,9800000,0.64575
392,9825000,0.63084
393,9850000,0.64038
394,9875000,0.64108
395,9900000,0.63646
396,9925000,0.63789
397,9950000,0.63182
398,9975000,0.62888
399,10000000,0.62485
